nodejoin id=1001110100, ip=A60C0IISCHDP, port=10100
nodejoin id=11100101101, ip=42P7EL15Z1Y1, port=1011
nodejoin id=11001100011, ip=HBHJR4EFN7Z5, port=10
nodejoin id=10010011000, ip=JXXON0HZNXR1, port=10110
nodejoin id=111001010101, ip=W4CV55O4OQFW, port=100
nodejoin id=10011101001, ip=PQO22HP7WAW7, port=11110
nodejoin id=111000, ip=UDJFLUTQ2WGZ, port=11
nodejoin id=100011001110, ip=907ZNN2AFO98, port=10010
nodejoin id=1100010, ip=WNOX5IAE4AFE, port=1101
nodejoin id=11000111110, ip=K10WWCF0L1M8, port=11100
nodejoin id=111010011101, ip=3Z1NHHG0CNSE, port=11000
nodejoin id=100011010110, ip=HY7PKUSBL8S2, port=11111
nodejoin id=111011011101, ip=657OI6GRMYK1, port=110
nodejoin id=111000000110, ip=1FUWIGS8G0RK, port=11100
nodejoin id=10010110110, ip=KFHZRD3W43E2, port=10011
nodejoin id=10010011000, ip=WB1HWN490KEJ, port=1001
nodejoin id=101010111110, ip=BV5ZNE1TWZ5H, port=1110
insert localnode=None, key=101101110100, val=111000101001
insert localnode=None, key=100010110110, val=1101111111111001
insert localnode=None, key=1000001001, val=10100010101
insert localnode=None, key=111001111, val=1111010001011110
insert localnode=None, key=10110001000, val=1111101110100001
insert localnode=None, key=100101001010, val=101000110100110
insert localnode=None, key=1101011110, val=100001010101101
insert localnode=None, key=110100011, val=1100111111010000
insert localnode=None, key=111100111001, val=1011010101011010
insert localnode=None, key=111001111110, val=1001111000100110
insert localnode=None, key=111101010100, val=1110000100010011
insert localnode=None, key=101000100110, val=1100001100101010
insert localnode=None, key=110010011101, val=1110111111000000
insert localnode=None, key=1101000011, val=1111001000101100
insert localnode=None, key=110110110010, val=11110010001001
insert localnode=None, key=111111001110, val=1101101111101001
insert localnode=None, key=100010011111, val=1111010101000101
insert localnode=None, key=11001110101, val=1110111011000010
insert localnode=None, key=111110001010, val=11011111011000
insert localnode=None, key=10101101111, val=1000100010110110
insert localnode=None, key=101011101111, val=1000100010001001
insert localnode=None, key=100011000101, val=1010101101001101
insert localnode=None, key=111100101010, val=1001101110110110
insert localnode=None, key=1101011, val=1000110001010111
insert localnode=None, key=111101001100, val=1011000001100111
insert localnode=None, key=11100010001, val=100101101000011
insert localnode=None, key=11010111010, val=1100000010101010
insert localnode=None, key=10110010100, val=10111100001011
insert localnode=None, key=10001101000, val=100000100110011
insert localnode=None, key=10110100111, val=1001001100001100
insert localnode=None, key=111101100111, val=1001110110111001
insert localnode=None, key=10010011110, val=1111001110000100
insert localnode=None, key=11010010101, val=1101110000011101
insert localnode=None, key=111101111110, val=1110101110000011
insert localnode=None, key=111000000111, val=1100011100110110
insert localnode=None, key=11101100011, val=1101101101101101
insert localnode=None, key=10010101010, val=1010101101010010
insert localnode=None, key=10001011001, val=11101110010101
insert localnode=None, key=1011100000, val=110111110010000
insert localnode=None, key=110111011111, val=1100010010011110
insert localnode=None, key=110110001011, val=1100111010111100
insert localnode=None, key=111010010101, val=1110110111000011
insert localnode=None, key=101010110001, val=1010101100111001
insert localnode=None, key=101001110101, val=1111101011100001
insert localnode=None, key=110101110001, val=10010110000010
insert localnode=None, key=101010001101, val=101101111000
insert localnode=None, key=101010111111, val=1011110101101111
insert localnode=None, key=1111100101, val=1001010111111
insert localnode=None, key=1011001101, val=1011010101110001
insert localnode=None, key=11101, val=11111010101110
insert localnode=None, key=10001011100, val=1110110001101
insert localnode=None, key=101111011000, val=10110000011101
insert localnode=None, key=111000001011, val=11101001100000
insert localnode=None, key=111110011111, val=101101001110010
insert localnode=None, key=1111011101, val=10111111001101
insert localnode=None, key=111101010011, val=11001000110100
insert localnode=None, key=10101110, val=1100011111010
insert localnode=None, key=111011111111, val=110001001001101
insert localnode=None, key=110000000110, val=10001001111000
insert localnode=None, key=10000100001, val=1001100101101010
insert localnode=None, key=1000111010, val=1111110011110010
insert localnode=None, key=100001101101, val=1110100110011000
insert localnode=None, key=111011111010, val=110010011110110
insert localnode=None, key=10111100000, val=1001110010110101
insert localnode=None, key=11101100001, val=1111010110101100
insert localnode=None, key=111101010101, val=1001001000110010
insert localnode=None, key=11101110011, val=1010010101111110
insert localnode=None, key=10010010010, val=101101110001110
insert localnode=None, key=1011111010, val=100100101010111
insert localnode=None, key=100001010001, val=101110111111100
insert localnode=None, key=111101000101, val=111011111100011
insert localnode=None, key=11011100, val=1111100001110110
insert localnode=None, key=101110100110, val=101101111010
insert localnode=None, key=100101111100, val=100111111101010
insert localnode=None, key=1011000, val=10110010100110
insert localnode=None, key=111011010011, val=1110011100111111
insert localnode=None, key=111111011, val=10010110100100
insert localnode=None, key=11001100100, val=111110000110010
insert localnode=None, key=11011001110, val=10000011000111
insert localnode=None, key=101110000100, val=1100100110011011
insert localnode=None, key=11111101111, val=101000101000000
insert localnode=None, key=101000011011, val=1101000111110110
insert localnode=None, key=10011011000, val=1011010001010001
insert localnode=None, key=100100001100, val=1000110101101100
insert localnode=None, key=100101001001, val=1110000001010011
insert localnode=None, key=100000010110, val=1111101011011001
insert localnode=None, key=111001111110, val=1101001100111
insert localnode=None, key=11100001011, val=1011100110000110
insert localnode=None, key=10001110000, val=1110010000110011
insert localnode=None, key=1000100100, val=111111011100001
insert localnode=None, key=1110100, val=1010010000001010
insert localnode=None, key=111011111110, val=101011011011101
insert localnode=None, key=111001110000, val=101111101001101
insert localnode=None, key=111111111001, val=1101101010010001
insert localnode=None, key=101111001010, val=10100000000000
insert localnode=None, key=110000100101, val=1010111110110000
insert localnode=None, key=101111101011, val=1001001010101000
insert localnode=None, key=111100010100, val=10101000110010
insert localnode=None, key=100011110111, val=1101010110100111
insert localnode=None, key=10110111111, val=1111110100100110
insert localnode=None, key=10010100011, val=1100110001100000
insert localnode=None, key=10011110001, val=1111000010000011
insert localnode=None, key=100111000001, val=10111110010011
insert localnode=None, key=10110001110, val=1111110110000011
insert localnode=None, key=11101111, val=11110111000
insert localnode=None, key=1001110010, val=1010000111010111
insert localnode=None, key=1001001111, val=1111110000000101
insert localnode=None, key=111110001, val=111010110101000
insert localnode=None, key=10101111011, val=10010011111101
insert localnode=None, key=110010011101, val=11111100010010
insert localnode=None, key=101101100101, val=1110111101000100
insert localnode=None, key=101101110, val=1100110101100111
insert localnode=None, key=101100000101, val=10110001100011
insert localnode=None, key=101111101101, val=101101000000010
insert localnode=None, key=101010101001, val=1111001001111
insert localnode=None, key=11100111111, val=10110100010110
insert localnode=None, key=110001011001, val=101001001111011
insert localnode=None, key=111000111101, val=1101101100111101
insert localnode=None, key=11101000010, val=11011000011010
insert localnode=None, key=111010001, val=11001010101110
insert localnode=None, key=101010110, val=1000100111100111
insert localnode=None, key=1110011, val=1010010000101110
insert localnode=None, key=100110001, val=1010010011101101
insert localnode=None, key=1101110111, val=110111101100101
insert localnode=None, key=101111111011, val=10111101011
insert localnode=None, key=1101001000, val=1111111101001000
insert localnode=None, key=100000110010, val=1111011110110110
insert localnode=None, key=11111100101, val=1111001011110
insert localnode=None, key=100101110101, val=1101011010100
insert localnode=None, key=1001011, val=1001000110101000
insert localnode=None, key=100010010110, val=1101000010110110
insert localnode=None, key=110010010101, val=110100010000111
insert localnode=None, key=100101110111, val=10101111010010
insert localnode=None, key=10011010110, val=1011111001100010
insert localnode=None, key=111001100, val=111101010000011
insert localnode=None, key=10110100011, val=101101100000111
insert localnode=None, key=111111111011, val=1011001101101000
insert localnode=None, key=110110110110, val=101100000010101
insert localnode=None, key=10101111101, val=1110101100001110
insert localnode=None, key=101010100, val=100100001100110
insert localnode=None, key=1001110011, val=11101011001
insert localnode=None, key=1011110010, val=1000001000011
insert localnode=None, key=11011011, val=1001110000100111
insert localnode=None, key=101010110, val=1001001101100111
insert localnode=None, key=110110001001, val=1110101010000100
insert localnode=None, key=111101001011, val=110010010011011
insert localnode=None, key=10111001010, val=110111101100001
insert localnode=None, key=110111100100, val=111001100000010
insert localnode=None, key=111010010111, val=110101110011001
insert localnode=None, key=1101011011, val=1010101000000101
insert localnode=None, key=11000001100, val=111001011000111
insert localnode=None, key=10111, val=10011001001011
insert localnode=None, key=101101000111, val=100100111101
insert localnode=None, key=11100000111, val=1001011001000000
insert localnode=None, key=1011010001, val=1011001000100111
insert localnode=None, key=1101000100, val=10110101100010
insert localnode=None, key=110111100011, val=101110101001001
insert localnode=None, key=11111111000, val=1011101111011110
insert localnode=None, key=10110001101, val=1001011111100101
insert localnode=None, key=110001011100, val=1001010110111100
insert localnode=None, key=111110111010, val=100101101110011
insert localnode=None, key=11010111101, val=1101011011101011
insert localnode=None, key=10000010101, val=1110111000010
insert localnode=None, key=100000111001, val=1011111010101
insert localnode=None, key=1010001111, val=110101110100110
insert localnode=None, key=110100011111, val=101110001101
insert localnode=None, key=100111110110, val=1000000101010111
insert localnode=None, key=100001000110, val=1100111011000100
insert localnode=None, key=1011001010, val=101111010011010
insert localnode=None, key=101001110000, val=1000000011111011
insert localnode=None, key=1000111100, val=11110100000011
insert localnode=None, key=110001101101, val=1101001001101011
insert localnode=None, key=110110101110, val=1110101000101011
insert localnode=None, key=100100111011, val=1110011111101
insert localnode=None, key=100010010110, val=11101001101
insert localnode=None, key=100101001100, val=101110000110111
insert localnode=None, key=10110110110, val=1010000001011010
insert localnode=None, key=11001111011, val=1101101000101010
insert localnode=None, key=1111000100, val=100011010111010
insert localnode=None, key=101111001100, val=1110001100101010
insert localnode=None, key=100000110010, val=1101110010011110
insert localnode=None, key=10110100110, val=1010010100100001
insert localnode=None, key=101011110101, val=111111100110100
insert localnode=None, key=10000100111, val=1001001001100100
insert localnode=None, key=1011000110, val=11000011110001
insert localnode=None, key=101100111010, val=111110010111011
insert localnode=None, key=1011001010, val=1101011110110100
insert localnode=None, key=100001110011, val=10100100110001
insert localnode=None, key=111011100011, val=10101100111110
insert localnode=None, key=110010011001, val=1110001001010
insert localnode=None, key=101110100101, val=101000001100000
insert localnode=None, key=10100011111, val=111011101111111
insert localnode=None, key=100011011001, val=1010100011100011
insert localnode=None, key=1011100001, val=101100000100111
insert localnode=None, key=100011010111, val=1001010010100100
insert localnode=None, key=11111000011, val=1110001011100111
insert localnode=None, key=100010011, val=1110110010001000
insert localnode=None, key=101011110, val=1001011001000011
insert localnode=None, key=100100011, val=11010000010011
insert localnode=None, key=110001101010, val=1110000011111
insert localnode=None, key=110100001000, val=1110100000
insert localnode=None, key=1101011100, val=1110101000000100
insert localnode=None, key=11111100101, val=110010001100000
insert localnode=None, key=1111000111, val=1111011000010001
insert localnode=None, key=100000001000, val=101010011001
insert localnode=None, key=110000100110, val=1010111000010110
insert localnode=None, key=11101110001, val=1101010000000001
insert localnode=None, key=11011110001, val=1110001110111001
insert localnode=None, key=10101110000, val=111100111010010
insert localnode=None, key=11000001011, val=1111101000001000
insert localnode=None, key=101011111111, val=1011111000111100
insert localnode=None, key=101101011001, val=10001110100101
insert localnode=None, key=10100010100, val=1000010110111100
insert localnode=None, key=1111, val=1101100011010000
insert localnode=None, key=100100111111, val=1110001000000101
insert localnode=None, key=10110010001, val=1010010101111100
insert localnode=None, key=11101101, val=11001011001001
insert localnode=None, key=100011101001, val=111111011011001
insert localnode=None, key=101011011, val=101100100011001
insert localnode=None, key=101000110000, val=1111010010011110
insert localnode=None, key=110010011100, val=101101111010
insert localnode=None, key=110011011011, val=1110000110010000
insert localnode=None, key=111110111100, val=11001101110010
insert localnode=None, key=1011100101, val=1011100111010011
insert localnode=None, key=11001100001, val=1010111011100011
insert localnode=None, key=100111111111, val=1100000110110100
insert localnode=None, key=101000100011, val=10011101010
insert localnode=None, key=11101101011, val=1111010001110011
insert localnode=None, key=101011, val=1110011111011111
insert localnode=None, key=101100000101, val=1111101010010001
insert localnode=None, key=1010110101, val=110001100100001
insert localnode=None, key=100100101111, val=1100100111100101
insert localnode=None, key=101110111000, val=1010101001001111
insert localnode=None, key=1000010111, val=1011110110011100
insert localnode=None, key=111000100000, val=1100111000011100
insert localnode=None, key=110101101011, val=1100100111011011
insert localnode=None, key=110100101111, val=1011100100111111
insert localnode=None, key=11011001, val=11100010001100
insert localnode=None, key=100100001000, val=110101100111100
insert localnode=None, key=111100111100, val=1101011101100010
insert localnode=None, key=111110011000, val=11010100001110
insert localnode=None, key=11000001010, val=1111100000000111
insert localnode=None, key=10001111, val=1111100111110111
insert localnode=None, key=11111100100, val=10011101111111
insert localnode=None, key=110110100, val=1100100011011101
insert localnode=None, key=1000110110, val=1011110000111001
insert localnode=None, key=101100111110, val=11100100110101
insert localnode=None, key=1011011011, val=10010101000101
insert localnode=None, key=100100101001, val=11101011011011
insert localnode=None, key=11101100001, val=1100000101111
