nodejoin id=111101000101, ip=4SWC6C8P3SDK, port=1011
insert localnode=None, key=110000110001, val=101010110001010
insert localnode=None, key=1110010011, val=111001100010
insert localnode=None, key=111101011100, val=10001111001
insert localnode=None, key=11110111100, val=1110101100100010
insert localnode=None, key=111100000101, val=1000111000111000
insert localnode=None, key=110010100110, val=1101000011100011
insert localnode=None, key=111011001001, val=1101001110101001
insert localnode=None, key=10010101111, val=100001001010011
insert localnode=None, key=11100011000, val=1111011010011111
insert localnode=None, key=101000001001, val=1111001111100111
insert localnode=None, key=11000001001, val=110100001000100
insert localnode=None, key=1010111010, val=1000100001000100
insert localnode=None, key=1100100101, val=1011100011101011
insert localnode=None, key=100101110010, val=1111111000111101
insert localnode=None, key=10010101101, val=1011110111111101
insert localnode=None, key=10001001001, val=1000110000011011
insert localnode=None, key=110011001001, val=111010100000010
insert localnode=None, key=1011010100, val=1000010001000110
insert localnode=None, key=101010101110, val=1111101011110100
insert localnode=None, key=100011110110, val=11000101110000
insert localnode=None, key=1111101001, val=1000111010000101
insert localnode=None, key=10000110100, val=1010100101000111
insert localnode=None, key=110110101011, val=1111101101011011
insert localnode=None, key=111001111011, val=111110001100110
insert localnode=None, key=101110010101, val=1011100011010100
insert localnode=None, key=111111011010, val=100000110100010
insert localnode=None, key=101011100, val=1100111000110110
insert localnode=None, key=110100110011, val=101110101001
insert localnode=None, key=110101110101, val=111011011011001
insert localnode=None, key=100011010100, val=111001111110
insert localnode=None, key=10000110000, val=100000001110001
insert localnode=None, key=11101101001, val=11100101010110
insert localnode=None, key=1011010001, val=1111001111010101
insert localnode=None, key=111101001111, val=1110011001111011
insert localnode=None, key=110010001110, val=1010111110011011
insert localnode=None, key=101010, val=10010001111101
insert localnode=None, key=1111011101, val=110101100001011
insert localnode=None, key=100000011111, val=1101011101001010
