nodejoin id=110101100011, ip=M5EPOZ28J85P, port=11111
insert localnode=None, key=111010111111, val=100010010100111
insert localnode=None, key=11100100110, val=1111110001011110
insert localnode=None, key=100110110001, val=1011101011100100
insert localnode=None, key=111001100100, val=111111010001000
insert localnode=None, key=110100101111, val=111100011111100
insert localnode=None, key=1110110001, val=1101100000101010
insert localnode=None, key=10011011011, val=1100111001111101
insert localnode=None, key=11111101, val=110111101010111
insert localnode=None, key=10010011, val=1000001110000001
insert localnode=None, key=10100011000, val=1000001000100000
insert localnode=None, key=1001011000, val=1101010011001110
insert localnode=None, key=11011110000, val=111010100111
insert localnode=None, key=10011111010, val=1100110011000011
insert localnode=None, key=11111101, val=1100110110010101
insert localnode=None, key=111011010001, val=1000100011010110
insert localnode=None, key=10100101, val=110001110010
insert localnode=None, key=100110110111, val=111010101100010
insert localnode=None, key=11101110110, val=1111011000110000
insert localnode=None, key=11011101001, val=101000001000101
insert localnode=None, key=110001110110, val=10101011001001
insert localnode=None, key=111110100101, val=101100111011010
insert localnode=None, key=111011010101, val=1011010000110111
insert localnode=None, key=1100001101, val=1001000110101010
insert localnode=None, key=110101011010, val=101111011010101
insert localnode=None, key=110001100011, val=1011111110001101
insert localnode=None, key=110101101101, val=1110001001011011
insert localnode=None, key=111011001111, val=1100110110110110
insert localnode=None, key=110001010000, val=1010100111111000
insert localnode=None, key=111111101001, val=1011101100011
insert localnode=None, key=1001111, val=100001001011000
insert localnode=None, key=101111000, val=10011010000000
insert localnode=None, key=1110101101, val=11101011101010
insert localnode=None, key=100111000000, val=111110100000100
insert localnode=None, key=111011101011, val=1101011010100100
insert localnode=None, key=10011001101, val=110101111101
insert localnode=None, key=101011101011, val=1101110010000101
insert localnode=None, key=11111000000, val=100111000000111
insert localnode=None, key=1110101000, val=1101100011110100
insert localnode=None, key=101010101100, val=1010010100111010
insert localnode=None, key=100001000001, val=1010111010001101
insert localnode=None, key=111000000111, val=11000111000010
insert localnode=None, key=11110111000, val=1000111110011100
insert localnode=None, key=11011000, val=111111101010001
insert localnode=None, key=1001010010, val=10000010011100
insert localnode=None, key=11111001000, val=1011101001100101
insert localnode=None, key=110011010, val=10111010011010
insert localnode=None, key=10100011, val=1001000100011000
