nodejoin id=101000011101, ip=XX309TIXB3VL, port=11010
nodejoin id=100011000001, ip=TKPIPLO2CY6L, port=10110
insert localnode=None, key=110111000000, val=1110010110110100
insert localnode=None, key=111001101110, val=1111100000110110
insert localnode=None, key=1000101000, val=1001110011111011
insert localnode=None, key=101100001110, val=100111001001001
insert localnode=None, key=1011001001, val=1001110010110011
insert localnode=None, key=11010010111, val=1101111011111010
insert localnode=None, key=101110010000, val=1000100001010110
insert localnode=None, key=10000011, val=1101110001100101
insert localnode=None, key=1101, val=1110101000001011
insert localnode=None, key=10001101001, val=1010010011000011
insert localnode=None, key=110111001010, val=100011110100010
insert localnode=None, key=1001101011, val=100101001101000
insert localnode=None, key=110100100010, val=111110010010100
insert localnode=None, key=11, val=100101111111110
insert localnode=None, key=111010011101, val=1100100011100000
insert localnode=None, key=10000101000, val=1100101000100110
insert localnode=None, key=101001100111, val=101010110111
insert localnode=None, key=110110100001, val=10101101101010
insert localnode=None, key=100110101100, val=1111101000011001
insert localnode=None, key=100010011001, val=1010001101100000
insert localnode=None, key=100101010100, val=11100001000001
insert localnode=None, key=101011000100, val=10000011000101
insert localnode=None, key=1111110111, val=100111101100111
insert localnode=None, key=10010000010, val=11000010110101
insert localnode=None, key=111110100000, val=101111010001
insert localnode=None, key=100000101010, val=1010000101001100
insert localnode=None, key=101100110101, val=1001001000011000
insert localnode=None, key=1111001101, val=1111101001000
insert localnode=None, key=111000001011, val=1100101010001000
insert localnode=None, key=10001111011, val=1110011100101110
insert localnode=None, key=101001101111, val=101010011000
insert localnode=None, key=11000101001, val=101100000010110
insert localnode=None, key=110110101100, val=11000111111011
insert localnode=None, key=10101010111, val=110111101000100
insert localnode=None, key=11001111101, val=1111001110100011
insert localnode=None, key=10011100010, val=1110110001010000
insert localnode=None, key=11011011100, val=10100011001111
insert localnode=None, key=11111010000, val=1011001100110100
insert localnode=None, key=100111010111, val=111001001001101
insert localnode=None, key=100001001000, val=10101110011111
insert localnode=None, key=10111100, val=1001101011011010
insert localnode=None, key=100000010010, val=100110100000111
insert localnode=None, key=110000011111, val=1111101100011011
insert localnode=None, key=11110110011, val=11111010011010
insert localnode=None, key=100111011111, val=1100000010011100
insert localnode=None, key=11101111, val=1011010001
insert localnode=None, key=111001100001, val=1001100101001011
insert localnode=None, key=111100011100, val=110001010100011
insert localnode=None, key=100101110011, val=10010110110011
insert localnode=None, key=110011100000, val=1001011011001000
insert localnode=None, key=111110010001, val=111010011110110
insert localnode=None, key=1101110101, val=1000101110011111
insert localnode=None, key=111110001000, val=100000100110010
insert localnode=None, key=100110001011, val=111101100010001
insert localnode=None, key=110010001, val=1110011001011000
insert localnode=None, key=110010010101, val=1111000111011111
insert localnode=None, key=110000011000, val=100101010101110
insert localnode=None, key=101011, val=110111011100010
insert localnode=None, key=110000101111, val=111000110100111
insert localnode=None, key=110101100, val=1010010110110111
insert localnode=None, key=10100001110, val=11000001010001
insert localnode=None, key=10010011100, val=101111010000
insert localnode=None, key=11111000, val=1111100100000110
insert localnode=None, key=1001111110, val=1000000100001011
insert localnode=None, key=1001010110, val=10011100101
insert localnode=None, key=101001000001, val=1100000101101001
insert localnode=None, key=1101110101, val=1001110011000001
insert localnode=None, key=111000001001, val=111011110000010
insert localnode=None, key=10010101010, val=11111111101100
insert localnode=None, key=111100000011, val=100100110110100
insert localnode=None, key=1100010010, val=111111001100
insert localnode=None, key=101110000111, val=110111111000010
insert localnode=None, key=101110110010, val=1010111111001110
insert localnode=None, key=101000100011, val=110000111101010
insert localnode=None, key=100101100101, val=100111100000011
insert localnode=None, key=110010010110, val=1110110110100010
insert localnode=None, key=11111001010, val=100111100110100
insert localnode=None, key=111011010110, val=1111000011111000
insert localnode=None, key=101111001101, val=11110000001110
insert localnode=None, key=101010010111, val=1110001010000010
insert localnode=None, key=10100110001, val=111111010111010
insert localnode=None, key=110111101100, val=1001110110001
insert localnode=None, key=11011101110, val=101110000000100
insert localnode=None, key=110010001111, val=110101001001001
insert localnode=None, key=10010101, val=1010100110011011
insert localnode=None, key=10111001000, val=100111000001100
insert localnode=None, key=11111001111, val=110100010001010
insert localnode=None, key=100001001, val=1000010011001011
insert localnode=None, key=110000111101, val=1101011000011
insert localnode=None, key=110111111001, val=1100011001110010
insert localnode=None, key=100011110010, val=1100011110010
insert localnode=None, key=100001000, val=1011000010111
insert localnode=None, key=11010, val=1101000101110101
insert localnode=None, key=101111101101, val=1010101110011
insert localnode=None, key=11111010011, val=111101001001001
insert localnode=None, key=110001110011, val=1100100001010111
insert localnode=None, key=110100010011, val=1001011001000100
insert localnode=None, key=110101101101, val=11101011001101
insert localnode=None, key=101001111100, val=1000110010101011
insert localnode=None, key=1111111000, val=111011111110110
insert localnode=None, key=101100001011, val=1010011111000100
insert localnode=None, key=1101000111, val=1110011111011000
insert localnode=None, key=1000010111, val=1110000111100010
insert localnode=None, key=101000100100, val=11010110101100
insert localnode=None, key=11100011001, val=10010010000
insert localnode=None, key=101101001001, val=1010000011000011
insert localnode=None, key=10010110, val=100111001000101
insert localnode=None, key=100110101111, val=10011100100010
insert localnode=None, key=111100100111, val=10001001101111
insert localnode=None, key=110001111, val=1010001101110001
insert localnode=None, key=100011011011, val=10011101011101
insert localnode=None, key=1001001000, val=1011000100110101
insert localnode=None, key=11110011100, val=1111010100110110
insert localnode=None, key=111110111110, val=1011001000000101
insert localnode=None, key=11110110000, val=101000010110100
insert localnode=None, key=100101111010, val=1101011011100010
insert localnode=None, key=1011011110, val=11000110101111
insert localnode=None, key=10011010011, val=1101101110111001
insert localnode=None, key=100001101, val=110001110000
insert localnode=None, key=1100111011, val=1001111001000100
insert localnode=None, key=110011111101, val=111010110010111
insert localnode=None, key=101111100111, val=110010010000010
insert localnode=None, key=100001110010, val=11011001000001
insert localnode=None, key=100001111011, val=110100010011110
insert localnode=None, key=10111011, val=1110011001001000
insert localnode=None, key=101110111110, val=10110110
insert localnode=None, key=10001001000, val=1100000101010010
insert localnode=None, key=101101111011, val=110101001111001
insert localnode=None, key=10001111000, val=1000011001000001
insert localnode=None, key=11100001101, val=111100001101011
insert localnode=None, key=111100111000, val=11110011010101
insert localnode=None, key=100111010010, val=1100100001101110
insert localnode=None, key=1111110011, val=10111110110101
insert localnode=None, key=10110101000, val=1100010101010100
insert localnode=None, key=11111110, val=100100100011111
insert localnode=None, key=10001100011, val=10101101000110
insert localnode=None, key=11001111110, val=110100101100111
insert localnode=None, key=110001010, val=1011110011101110
insert localnode=None, key=101100011001, val=1001011111101010
insert localnode=None, key=100011011101, val=1000101000001111
insert localnode=None, key=1010000111, val=110001010111000
insert localnode=None, key=10001011100, val=1010101001001000
insert localnode=None, key=11010101, val=1010111010111110
insert localnode=None, key=1001101000, val=10010001100110
insert localnode=None, key=111110110100, val=1001010101110001
insert localnode=None, key=100000100, val=1000000010101110
insert localnode=None, key=100101001000, val=1110001111101010
insert localnode=None, key=11011111011, val=1111011100010100
insert localnode=None, key=1100011111, val=101001100010011
insert localnode=None, key=101100111100, val=11110101000011
insert localnode=None, key=100000110011, val=1100101110010100
insert localnode=None, key=110100001010, val=100010110010000
insert localnode=None, key=110001011010, val=101000001011101
insert localnode=None, key=1010110000, val=10011101011010
insert localnode=None, key=11101000010, val=1100101110111010
insert localnode=None, key=11100010111, val=1010000001100000
insert localnode=None, key=10001001101, val=1110101011111101
insert localnode=None, key=1110101100, val=1000011011110
insert localnode=None, key=110100101010, val=1110011110111101
insert localnode=None, key=100101011100, val=1101001010010010
insert localnode=None, key=100001001001, val=10101100010001
insert localnode=None, key=110110111110, val=1110011001101110
insert localnode=None, key=10000100, val=1010111011001010
insert localnode=None, key=11001000001, val=1000101110100101
insert localnode=None, key=11010010100, val=1011101111111
insert localnode=None, key=1010001111, val=1101110100111100
insert localnode=None, key=100101101, val=111100100001001
insert localnode=None, key=11010100000, val=1111101010110111
insert localnode=None, key=1111000101, val=1100001111001011
insert localnode=None, key=100111100110, val=11100110000110
insert localnode=None, key=100011110101, val=1011010001011110
insert localnode=None, key=110011100111, val=10100101000000
insert localnode=None, key=100011011001, val=100101111010001
insert localnode=None, key=111101111010, val=1011010100011010
insert localnode=None, key=1111001, val=1011000001110100
insert localnode=None, key=111110001110, val=1111111011001000
insert localnode=None, key=11010110001, val=1111100010101110
insert localnode=None, key=110100111, val=1100001000011010
insert localnode=None, key=100000111, val=1000110001110010
insert localnode=None, key=100010010101, val=1110100001101100
insert localnode=None, key=11110011, val=10100010101110
insert localnode=None, key=11001101110, val=1110011110110100
insert localnode=None, key=10111011101, val=1000110101010110
insert localnode=None, key=110111100100, val=1010100100000011
insert localnode=None, key=10001100, val=1101101011101010
insert localnode=None, key=110000110010, val=1101111011001010
insert localnode=None, key=10111100, val=111011100010
insert localnode=None, key=101111011011, val=1010111111101101
insert localnode=None, key=101111100111, val=1001101111001
insert localnode=None, key=10110101, val=1000101000010101
insert localnode=None, key=1011100011, val=1100010011000
insert localnode=None, key=100110101001, val=100010001101101
insert localnode=None, key=1001000110, val=101010100001111
insert localnode=None, key=111011011, val=111111100001
insert localnode=None, key=100111010000, val=100100010101100
insert localnode=None, key=101000011100, val=1011101011000001
insert localnode=None, key=101100101000, val=1001010101111100
insert localnode=None, key=1011011101, val=1100101000011110
insert localnode=None, key=10101100010, val=11101110000110
insert localnode=None, key=100001111110, val=1011100000000110
insert localnode=None, key=11001111111, val=101010010101010
insert localnode=None, key=101001011101, val=111110010010
insert localnode=None, key=1111000, val=101010000101100
insert localnode=None, key=110011001, val=1110110111100010
insert localnode=None, key=11101111, val=110000000010
insert localnode=None, key=100001010, val=110100111110111
insert localnode=None, key=10011011, val=1111101100101100
insert localnode=None, key=100000011000, val=1000011101000001
insert localnode=None, key=111111000011, val=1011010101001100
insert localnode=None, key=110111000011, val=11001000011101
insert localnode=None, key=100100001110, val=1101000111000001
insert localnode=None, key=111111111011, val=1110011001110101
insert localnode=None, key=101100000010, val=1001100101001001
insert localnode=None, key=110000101001, val=1110000111001100
insert localnode=None, key=100100011001, val=1111111001011000
insert localnode=None, key=100110100011, val=111110101001
insert localnode=None, key=11001100, val=1111000100111100
insert localnode=None, key=100110010, val=1001010110000100
insert localnode=None, key=101100111111, val=1110000010010
insert localnode=None, key=10100100011, val=1010010100000101
insert localnode=None, key=101110011101, val=11011111111101
insert localnode=None, key=10011100110, val=1001101011101010
insert localnode=None, key=110000000110, val=10010010111100
insert localnode=None, key=1100100011, val=1111001101111100
insert localnode=None, key=11011000, val=1000110110111110
insert localnode=None, key=1010101100, val=1001110001001110
insert localnode=None, key=1010110111, val=1110000100110010
insert localnode=None, key=1001101111, val=1000110001100010
insert localnode=None, key=111100, val=1101111001010000
insert localnode=None, key=11011101001, val=1101000100010010
insert localnode=None, key=100000101101, val=1100000000101
insert localnode=None, key=100010100011, val=11100011110
insert localnode=None, key=111101010101, val=111000111010100
insert localnode=None, key=111000010101, val=100010001011000
insert localnode=None, key=1100101011, val=1011001011000011
insert localnode=None, key=10011010010, val=1000000000000111
insert localnode=None, key=100100101111, val=1100110000110110
insert localnode=None, key=10001001000, val=10101010010111
insert localnode=None, key=10101010001, val=1111101100110001
insert localnode=None, key=1001111011, val=100101000100011
insert localnode=None, key=101011011110, val=100110011001010
insert localnode=None, key=10100100, val=1000010000100001
insert localnode=None, key=111010111001, val=1110101100101000
insert localnode=None, key=111001110101, val=1101000001101
insert localnode=None, key=101001011100, val=1011000000111110
insert localnode=None, key=101100111000, val=11110101111011
insert localnode=None, key=100011010010, val=10100010001111
insert localnode=None, key=111100001010, val=10110010011001
insert localnode=None, key=11010111111, val=1110010111100110
insert localnode=None, key=10100100, val=101011001001111
