nodejoin id=10111010001, ip=TAZ1RGJ9G22C, port=111
insert localnode=None, key=11011000110, val=10110100110
insert localnode=None, key=1001011100, val=1000011101010101
insert localnode=None, key=110110100, val=1101100011001111
insert localnode=None, key=110101001100, val=11111011000100
insert localnode=None, key=111000001100, val=111010111100010
insert localnode=None, key=10001111110, val=11100011100001
insert localnode=None, key=101010100001, val=10011001110000
insert localnode=None, key=100100110010, val=1000110110011010
insert localnode=None, key=111101000010, val=1000101011001
insert localnode=None, key=10111000110, val=1111011110010111
insert localnode=None, key=110001111100, val=1100101000101100
insert localnode=None, key=111000001110, val=10001111100010
insert localnode=None, key=111101001, val=101001100011000
insert localnode=None, key=100111101000, val=10110011001
insert localnode=None, key=1001110011, val=1101110011000101
insert localnode=None, key=101010101101, val=1100010110100101
insert localnode=None, key=111010001111, val=10100010000011
insert localnode=None, key=1010100101, val=1000011111001000
insert localnode=None, key=1100011111, val=100010011101001
insert localnode=None, key=111000110001, val=1011000111101000
insert localnode=None, key=101110000000, val=1010000011010010
insert localnode=None, key=110001010110, val=110110011010000
insert localnode=None, key=10010011100, val=1100000100011000
insert localnode=None, key=11000110111, val=1110000111001101
insert localnode=None, key=1100110010, val=1100000100010101
insert localnode=None, key=10011101100, val=10100001111111
insert localnode=None, key=11100001110, val=1011101010000100
insert localnode=None, key=101001000000, val=1010110111110011
insert localnode=None, key=110111111000, val=1110100111000011
insert localnode=None, key=11010001100, val=1101101000110001
insert localnode=None, key=10100011101, val=1011111010000110
insert localnode=None, key=110000001101, val=1110111101001001
insert localnode=None, key=1010111100, val=1011110111110000
insert localnode=None, key=100001101010, val=1110101101110100
insert localnode=None, key=10000010111, val=1010000111101100
insert localnode=None, key=1110000, val=1000000000010010
insert localnode=None, key=1010101000, val=1010000101101111
insert localnode=None, key=111111100011, val=1010110000100000
insert localnode=None, key=111100100110, val=100010100111
insert localnode=None, key=111100100100, val=11100010111
insert localnode=None, key=10100111101, val=1001110011001111
insert localnode=None, key=10011001011, val=1111100100
insert localnode=None, key=10010110111, val=11011010101000
insert localnode=None, key=1000101010, val=100001000101001
insert localnode=None, key=111011111111, val=1101111001011
insert localnode=None, key=10101110010, val=111000101011011
insert localnode=None, key=10010010001, val=1111100001110111
insert localnode=None, key=110111000101, val=110110000000
insert localnode=None, key=101001000001, val=101011011110010
insert localnode=None, key=1010001001, val=1111011110100100
insert localnode=None, key=11010101, val=1011111110101
insert localnode=None, key=101000010010, val=1101101010010001
insert localnode=None, key=101110111111, val=1011001101100001
insert localnode=None, key=101011100, val=1000000010111
insert localnode=None, key=110010111010, val=1100100101111111
insert localnode=None, key=10001100011, val=100111101111101
insert localnode=None, key=1000010, val=1101100010111011
insert localnode=None, key=111011000110, val=1000010101011101
insert localnode=None, key=110010001100, val=101101001111
insert localnode=None, key=1000001000, val=1111111110100110
insert localnode=None, key=10010110000, val=1101111001011100
insert localnode=None, key=100101100100, val=110111011111011
insert localnode=None, key=11010100, val=1100001000011010
insert localnode=None, key=111010100110, val=100000110000000
insert localnode=None, key=11110100010, val=100000111010100
insert localnode=None, key=100011100001, val=1100010010101010
insert localnode=None, key=110000101000, val=101111011010011
insert localnode=None, key=10011101101, val=1011011110100011
insert localnode=None, key=10010011101, val=10011011011100
insert localnode=None, key=110100110111, val=1111111011101110
insert localnode=None, key=11010001000, val=110001101111001
insert localnode=None, key=110111100111, val=1000011001100000
insert localnode=None, key=1100011101, val=10011100110001
insert localnode=None, key=101001100000, val=100101111101111
insert localnode=None, key=100001100110, val=1111111100010011
insert localnode=None, key=101110110, val=111000111000
insert localnode=None, key=101110101101, val=1000001010010101
insert localnode=None, key=101111101101, val=1011001000000001
insert localnode=None, key=1001110011, val=1011000110010011
insert localnode=None, key=101011000100, val=1000100010010001
insert localnode=None, key=111001100011, val=100000101100101
insert localnode=None, key=11110111001, val=1011001111001
insert localnode=None, key=111100111100, val=1001000110001110
insert localnode=None, key=101101010110, val=11010011000111
insert localnode=None, key=1011101010, val=11101101001001
insert localnode=None, key=110011010000, val=1001101011001111
insert localnode=None, key=110000001110, val=1111010010011
insert localnode=None, key=11000111111, val=1101001100101000
insert localnode=None, key=10000000010, val=1011100101100
insert localnode=None, key=100100101001, val=10010010010011
insert localnode=None, key=100111111110, val=110111011010101
insert localnode=None, key=10010111001, val=1100010000000001
insert localnode=None, key=10001010001, val=1010111110101101
insert localnode=None, key=101010010111, val=1001010111001111
insert localnode=None, key=110000000, val=1101011101010010
insert localnode=None, key=10101010010, val=1011010001000
insert localnode=None, key=110001011111, val=10001111111
insert localnode=None, key=111101101110, val=110110000111011
insert localnode=None, key=100110000101, val=1101011010111100
insert localnode=None, key=101010111111, val=1011101001010111
insert localnode=None, key=1010111010, val=1000111001111011
insert localnode=None, key=100110010001, val=1001111100111111
insert localnode=None, key=110000110100, val=10110011000101
insert localnode=None, key=111001100111, val=1011101101111001
insert localnode=None, key=100110101101, val=1111000011001010
insert localnode=None, key=101000111, val=1000001111001011
insert localnode=None, key=101111010110, val=110011000110
insert localnode=None, key=1111101010, val=1111100101011100
insert localnode=None, key=111100011001, val=101010110010000
insert localnode=None, key=11001001011, val=1111000111000110
insert localnode=None, key=111011111001, val=1100000111000111
insert localnode=None, key=111100000111, val=1101010101011000
insert localnode=None, key=1011110111, val=1011001001010000
insert localnode=None, key=100110011110, val=1010001110010111
insert localnode=None, key=100100000101, val=1001010001010111
insert localnode=None, key=111110101000, val=1010001101101000
insert localnode=None, key=11111110111, val=1000110010101001
insert localnode=None, key=1010010001, val=1110001010101011
insert localnode=None, key=111100111000, val=111001010000
insert localnode=None, key=111000010001, val=1010110110100110
insert localnode=None, key=1100000010, val=1011011100101010
insert localnode=None, key=110001111001, val=101110010111000
insert localnode=None, key=101000001111, val=1111111011010011
insert localnode=None, key=10100, val=1000011100100010
insert localnode=None, key=11100001010, val=1100010000101001
insert localnode=None, key=10010100001, val=110100100010010
insert localnode=None, key=111100101100, val=1011101100110
insert localnode=None, key=1000010101, val=1011100100101001
insert localnode=None, key=11001111, val=100100110100011
insert localnode=None, key=100111101001, val=1001001111011000
insert localnode=None, key=101011100010, val=1100011010000110
insert localnode=None, key=101111011011, val=1000000111000000
insert localnode=None, key=111101100000, val=1100100011010101
insert localnode=None, key=100011110111, val=100000111110001
insert localnode=None, key=111110110001, val=1011111110100001
insert localnode=None, key=111001111, val=1111000100101
insert localnode=None, key=11110101000, val=1000111000000
insert localnode=None, key=111000101000, val=1010011001101111
insert localnode=None, key=101111010000, val=1111000011101101
insert localnode=None, key=100101000110, val=1101110011000
insert localnode=None, key=100101110111, val=111011011011011
insert localnode=None, key=111000011111, val=1100110011011000
insert localnode=None, key=101010001010, val=1110011111110000
insert localnode=None, key=11100110111, val=1110001100100101
insert localnode=None, key=111111111101, val=10111011011111
insert localnode=None, key=100110000010, val=111000100101011
insert localnode=None, key=1111101100, val=1111100000110100
insert localnode=None, key=1111, val=11011101111100
insert localnode=None, key=1000000011, val=1001000101110010
insert localnode=None, key=110011100001, val=1010100101100110
insert localnode=None, key=101010110010, val=110111001001100
insert localnode=None, key=11101000111, val=1101011000101101
insert localnode=None, key=10011001111, val=100100010111101
insert localnode=None, key=10011100010, val=101001011111101
insert localnode=None, key=100000100001, val=10100100000100
insert localnode=None, key=10101110100, val=1101001101100001
insert localnode=None, key=10110001000, val=110011100000111
insert localnode=None, key=111101100001, val=101111111001010
insert localnode=None, key=101111101110, val=1101101000010
insert localnode=None, key=111001100011, val=110110010101100
insert localnode=None, key=111001010100, val=1001110101101101
insert localnode=None, key=101101100110, val=1010000011100010
insert localnode=None, key=101110010, val=1000111111010011
insert localnode=None, key=111111000011, val=1010100101111100
insert localnode=None, key=110110000101, val=110100011000
insert localnode=None, key=10000000001, val=100111101100000
insert localnode=None, key=100010111101, val=110000010101
insert localnode=None, key=11100000001, val=1110101111110100
insert localnode=None, key=101010011010, val=1100110101001001
insert localnode=None, key=10101101001, val=11011100110011
insert localnode=None, key=1001101110, val=110011010110110
insert localnode=None, key=100110111, val=1011011110100001
insert localnode=None, key=10000010100, val=101000101001010
insert localnode=None, key=1110100001, val=1101001011100011
insert localnode=None, key=111001100110, val=1110010010111000
insert localnode=None, key=111000111001, val=1111101001111001
insert localnode=None, key=110110010100, val=1100010110110101
insert localnode=None, key=11010010010, val=1010111001000001
insert localnode=None, key=10011000101, val=1001001100100011
insert localnode=None, key=1110001000, val=110000111011110
insert localnode=None, key=110110011100, val=110101011111101
insert localnode=None, key=111011000010, val=1111011011100101
insert localnode=None, key=100001001100, val=111011101110100
insert localnode=None, key=1110001001, val=101001011010010
insert localnode=None, key=1100000010, val=1111011010100
insert localnode=None, key=100100110011, val=101001100101010
insert localnode=None, key=101101010110, val=11110010010001
insert localnode=None, key=100110000100, val=1111000001111010
insert localnode=None, key=110110100001, val=111100110011100
insert localnode=None, key=1110011000, val=1110011100011100
insert localnode=None, key=101001011, val=1101110111111000
insert localnode=None, key=101101010110, val=1100001100001100
insert localnode=None, key=110000111111, val=1110101110100111
insert localnode=None, key=101101101, val=10001001110111
insert localnode=None, key=110111101010, val=1101001000111110
insert localnode=None, key=10010000101, val=1111001110111
insert localnode=None, key=10101000, val=1111010100000010
insert localnode=None, key=111001111011, val=1011111011011011
insert localnode=None, key=100101011001, val=110110010010110
insert localnode=None, key=1111110111, val=1000110101101111
insert localnode=None, key=100110110101, val=10111111
insert localnode=None, key=10011010, val=11011101111010
insert localnode=None, key=100101100111, val=1101101110101001
insert localnode=None, key=10100110, val=10101010110
insert localnode=None, key=100101110110, val=1100110000110001
insert localnode=None, key=10001101101, val=10001101010010
insert localnode=None, key=111110000101, val=1011001001101
insert localnode=None, key=11101011101, val=1100111011111010
insert localnode=None, key=1100101001, val=1111101000101
insert localnode=None, key=10100001001, val=100001011001
insert localnode=None, key=10101000, val=100011011111011
insert localnode=None, key=110001010111, val=1111100100010000
insert localnode=None, key=111010111001, val=100010010001010
insert localnode=None, key=10001110101, val=1111101000010100
insert localnode=None, key=100111000111, val=1000010100100101
insert localnode=None, key=110001010101, val=110111111111111
insert localnode=None, key=10100010110, val=1110010010110000
insert localnode=None, key=100101101, val=1001010010001010
insert localnode=None, key=100110010100, val=111001010
insert localnode=None, key=10001111110, val=100010001010001
insert localnode=None, key=111101001000, val=1000010011110000
insert localnode=None, key=11010010001, val=1101100111000101
insert localnode=None, key=101110001100, val=100111011100100
insert localnode=None, key=10001000011, val=100010000100110
insert localnode=None, key=101110000010, val=110111010011
insert localnode=None, key=100100100001, val=111111011100111
insert localnode=None, key=111111011111, val=110100011001010
insert localnode=None, key=111011010100, val=11010111100001
insert localnode=None, key=1110101010, val=111100000101000
insert localnode=None, key=10101110001, val=110011100001000
insert localnode=None, key=110100100010, val=100010110111110
insert localnode=None, key=10111010110, val=100101110010100
insert localnode=None, key=100101001101, val=110100100110
insert localnode=None, key=101011000101, val=1100000100110111
insert localnode=None, key=11111100, val=1101110010001000
insert localnode=None, key=110011001000, val=1001011010111000
insert localnode=None, key=11001101000, val=1011011100000010
insert localnode=None, key=10000101000, val=1111100111110100
insert localnode=None, key=10111011010, val=1110000010110111
insert localnode=None, key=11101000001, val=1001000000101101
insert localnode=None, key=1010010100, val=10010011011010
insert localnode=None, key=10010101111, val=1110110010101101
insert localnode=None, key=11111100100, val=1110011000011000
insert localnode=None, key=1110001101, val=1101110101000000
insert localnode=None, key=100100011110, val=1001011101000010
insert localnode=None, key=101010000110, val=1100001110101010
insert localnode=None, key=11100011010, val=1010111100110100
